x,y
"Graphic Designer Pegawai (non-manajemen & non-supervisor) Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2) Penuh Waktu Smart Casual We are seeking a highly motivated, confident individual who is a responsible team player with self-driven abilities—possess strong, detailed skills in developing creative ideas and work in a fast-paced and dynamic work environment and industry.The ideal candidate will be responsible for all graphic and design needs of the company and will also be heavily involved with the marketing team in content curation creation and management of our brands' social media accounts.Roles & ResponsibilitiesWork closely with marketing team to generate and execute ideasResponsible for all graphic design needs of the companyResponsible for content curation and creation of SERIAL brandsDesign promotional and event collaterals for both print and webCoordinate and responsible for production and timelines with team to meet overall campaign deadlinesCollaborate with other team members to produce effective presentations for business developments and clientsRequirementsBachelor's degree in Graphic Design or relevant fieldA minimum of 1 year experience in design or relevant fieldCompelling portfolio of work over a wide range of creative projectsHas a strong visual awareness in design and current lifestyle trendsExperience in managing social media accountsExcellent proficiency with design softwareWeb, video and/or photography skills a plusPersonality TraitsExcellent eye for detailsOrganizedResourcefulTeam playerSociableProactivePunctualCreativeCritical ","{
  ""required_skills"": [
    ""Graphic Design"",
    ""Design Software"",
    ""Visual Awareness"",
    ""Lifestyle Trends"",
    ""Social Media Management"",
    ""Web Design"",
    ""Video Production"",
    ""Photography"",
    ""Time Management"",
    ""Organization"",
    ""Teamwork"",
    ""Communication"",
    ""Creativity"",
    ""Attention to Detail"",
    ""Problem Solving""
  ]
}"
"Helper Lulusan baru/Pengalaman kerja kurang dari 1 tahun SMA, SMU/SMK/STM Penuh Waktu nan Memasang dan Memproduksi jendela dan pintu UPVC, nantinya akan kami pasangkan dengan tenaga/tukang yang sudah ahliKualifikasiJujurSehat jasmaniTerbiasa kerja dengan lapanganRajinBerkelakuan baikUsia min 18 th maks.40 thnMinimal pendidikan SLTA/sederajatMau ditugaskan luar kota jika diperlukan seperti jabodetabek ","{
  ""required_skills"": [
    ""Physical labor"",
    ""Teamwork"",
    ""Adaptability"",
    ""Time management"",
    ""Communication"",
    ""Basic knowledge of UPVC window and door installation"",
    ""Manual labor skills""
  ]
}"
"Admin / Marketing Support Pegawai (non-manajemen & non-supervisor) Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1) Penuh Waktu nan PT. NATURASA AROMA NUSANTARA is a distributor of Natural Flavor, Essential Oils, Extract, and other natural ingredient in Indonesia. We have been servicing the industry for more than a decade and trusted by many leading manufacturers. We are currently seeking highly motivated individuals to fill in the following position :Admin / Marketing SupportQualifications:Age max. 30 years oldDiploma degree or higher in Economy / Business Administration from an accredited College or UniversityFresh Graduate is welcomed to apply for the position.Energetic, creative, goal oriented, loyal, a team player, and must be able to work under low supervision.Intermediate in English, both oral and writtenExcellent organizational and multitasking skillsFamiliar with Microsoft product & GoogleFamiliar with Media social app, Photoshop / Adobe will be advantageResponsibilities:Process orders and check data accuracy in orders and invoicesContact clients to obtain missing information or answer queriesLiaise with the Logistics department to ensure timely deliveriesMaintain and update sales and customer recordsCommunicate important feedback from customers internallyEnsure sales targets are met and report any deviationsStay up-to-date with new products and features ","{
  ""required_skills"": [
    ""English language (oral and written)"",
    ""Microsoft products"",
    ""Google"",
    ""Social media"",
    ""Photoshop / Adobe (advantage)"",
    ""Organizational skills"",
    ""Multitasking skills"",
    ""Communication skills"",
    ""Data analysis and accuracy"",
    ""Time management"",
    ""Teamwork and collaboration"",
    ""Goal setting and achievement"",
    ""Adaptability and flexibility"",
    ""Creativity and problem-solving""
  ]
}"
"PROJECT MANAGER BAJA Manajer/Asisten Manajer Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2) Penuh Waktu Tip;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Parkir;Uniform;08.00 - 16.00 Persyaratan :Pengalaman minimal 5 (lima) tahun sebagai Project Manager (BAJA) (sebagai Perusahaan Kontraktor)Pendidikan S1 Teknik SipilPengalaman di proyek high rise building / workshop / Hospital, Pabrik, Gudang, dllMemahami Sistem Manajemen Mutu & K3Menguasai manajemen kontruksi (Perencanaan, Pelaksanaan & Penjadwalan Proyek)Memahami prosedur dan metode kerja proyek high rise buildingMampu menganalisa & mengontrol budgetMemahami rencana mutu proyek & rencana anggaran proyekMenguasai tentang Quality ControlBersedia di tempatkan di proyek (dalam dan luar kota) ","{""required_skills"": [""Project Management"", ""Quality Control"", ""Budget Control"", ""Construction Management"", ""Scheduling"", ""Risk Management"", ""Quality Assurance"", ""Time Management"", ""Team Management"", ""Communication"", ""Analytical Skills"", ""Problem-Solving"", ""Contractor Management"", ""High-Rise Building Project Management"", ""Workshop Project Management"", ""Hospital Project Management"", ""Industrial Project Management"", ""Quality Management System"", ""Occupational Health and Safety Management""]}"
"API Developer Pegawai (non-manajemen & non-supervisor) Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2) Penuh Waktu Asuransi Gigi;Asuransi kesehatan;Penglihatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja) Responsibilities:Write clean, reusable, testable and efficient codes to build the API Gateway componentsUse CI/CD tools to automate the test and deployment processResolve complex technical issues in timely manner in order to support BAUAnalyse user requirement and translate such requirements into design documentsDocument key design decisionsTake ownership of the tasks assigned and deliver with qualityCommunicate effectively and professionally in all forms of communication with internal requestorsHelp with other ad-hoc work as the need arise within the organizationRequirements:A Degree/Diploma in Computer Science or Computer Engineering from reputable universityPreferably 2 years’ experience working in a software development team (school project counts)Proud of solving real-world issues and making people’s life betterGood programming skills in the following languages: Java, Javascript, Shell ScriptingPrior experience in SOAP/XML, RESTful API and/or microservice development preferredExperience in database design and development in SQL queries and stored procedureKeen interest in Financial Products, Open-Source stack, Agile and Continuous DeliveryHands on experience in CI/CD pipeline by using GIT, Jenkins, JIRAStrong problem-solving skills using good judgmentsKeen interest to research and learn new technologiesAble to learn fast and adapt quickly ","{
  ""required_skills"": [
    ""API development"",
    ""CI/CD tools"",
    ""Java"",
    ""Javascript"",
    ""Shell Scripting"",
    ""SOAP/XML"",
    ""RESTful API"",
    ""Microservice development"",
    ""Database design and development"",
    ""SQL queries and stored procedure"",
    ""Agile"",
    ""Continuous Delivery"",
    ""GIT"",
    ""Jenkins"",
    ""JIRA"",
    ""Problem-solving"",
    ""Good judgments"",
    ""Fast learning"",
    ""Adaptability""
  ]
}"
"SALES BRAND REALME Lulusan baru/Pengalaman kerja kurang dari 1 tahun SMA, SMU/SMK/STM Kontrak Tip;Asuransi kesehatan;Pinjaman;Parkir;Bisnis (contoh: Kemeja) Tanggung jawab pekerjaan:Menjual dan mendistribusikan produk handphone all brandBertanggung jawab dan berkomitmen terhadap pencapaian target yang diberikanMenjalin hubungan yang baik dengan rekan bisnisTaat dan patuh serta menjalankan SOP perusahaanKemampuan menganalisa yang baik dan bertanggung jawabDapat mengarahkan dan menganalisa sasaran mana dan kepada siapa produk akan ditawarkan dan dijualMenguasai product knowledge Kualifikasi:Usia maksimal 35 tahunminimal lulusan SMA/SMKMemiliki kemampuan komunikasi yang baikHuman relationPrice policy (mengerti aturan harga jual)Approach (pendekatan kepada rekan bisnis)Selling skillMampu mencapai target penjualanDOMISILI SEMARANG DAN BANJARNEGARA DAN WONOSOBO, TEGAL, MAJALENGKA, CIREBON, TASIKMALAYA, CIAMISFasilitasGaji dan InsentiveBPJS kesehatan dan ketenagakerjaanPelatihanJenjang Karir ","{
  ""required_skills"": [
    ""penjualan"",
    ""komunikasi"",
    ""human relation"",
    ""price policy"",
    ""approach"",
    ""selling skill"",
    ""analisis"",
    ""pengarahan"",
    ""pencapaian target"",
    ""product knowledge"",
    ""gaji"",
    ""insentif"",
    ""BPJS kesehatan dan ketenagakerjaan"",
    ""pelatihan"",
    ""jenjang karir""
  ]
}"
"Sekretaris Direksi Pegawai (non-manajemen & non-supervisor) Sarjana (S1) Penuh Waktu Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos) Radya Labs saat ini mencari asisten pribadi atau sekretaris yang mampu membantu tim direksi. Posisi ini diharapkan untuk mengelola jadwal, data, dan mampu bekerja sama dengan tim direksi maupun dengan kru Radya Labs lainnya. Kualifikasi yang dicari :Menyenangi dan memiliki pengetahuan dasar tentang IT khususnya SoftwareMemiliki pemahaman tentang bisnisMampu dan memiliki pengalaman membuat power point yang profesional dan menarikMenguasai dan memiliki keterampilan menggunakan Microsoft OfficeDiutamakan telah memiliki pengalaman sebagai asisten pribadi atau sekretarisMinimal lulusan S1 Teknik Industri dengan nilai mata kuliah Manajemen Inovasi minimal BTeliti dan DetailTerbiasa bekerja dengan ritme yang cepatMemiliki kemampuan komunikasi yang baik (lisan maupun tulisan)Dapat bekerjasamaSiap dan mau belajar serta mengembangkan kemampuan diri ","{
  ""required_skills"": [
    ""IT knowledge"",
    ""basic understanding of business"",
    ""experience in creating professional PowerPoint presentations"",
    ""Microsoft Office skills"",
    ""experience as a personal assistant or secretary"",
    ""Bachelor's degree in Industrial Engineering or related field"",
    ""attention to detail"",
    ""ability to work in a fast-paced environment"",
    ""good communication skills (verbal and written)"",
    ""teamwork ability"",
    ""willingness to learn and develop skills""
  ]
}"
"Management Trainee Lulusan baru/Pengalaman kerja kurang dari 1 tahun Sarjana (S1) Penuh Waktu nan Held minimum Bachelor degree (S1) from any major, reputable university prefered.GPA minimum 3.00 or above. Maximum age 25 years oldMaximum 2 years working experienceProficient in English & have strong communication skillsWilling to be placed at Jabodetabek area.Strong anakytical thinking and capable to learn new thingsGeneral responsibilitiesThis position will be trained to be managerial level within 2 years form the company.Learn how to be working on the organization in any positions ","{
""required_skills"": [
""Analytical thinking"",
""Communication skills"",
""English proficiency"",
""Team management"",
""Leadership development"",
""Adaptability"",
""Problem-solving"",
""Time management"",
""Learning ability""
]
}"
"SUPERVISOR DISTRIBUSI MOBIL, HRD DAN ADH Supervisor/Koordinator Tidak terspesifikasi Penuh Waktu Asuransi kesehatan;Bisnis (contoh: Kemeja);Senin-Sabtu 08.00-17.00 KRITERIA :USIA MAKSIMAL 35 TAHUNPENDIDIKAN MINIMAL D3/S1 SEMUA JURUSANPENGALAMAN DIBIDANG DISTRIBUTOR UNIT OTOMOTIFDAPAT BEKERJA DIBAWAH TEKANANMEMILIKI KEMAMPUAN KOMUNIKASI YANG BAIKFAMILIAR MENGGUNAKAN KOMPUTER DENGAN PROGRAM MICROSOFT OFFICE (WORD,EXCEL,POWER POINT,OUTLOOK EMAIL DAN INTERNET)KRITERIA HRD :USIA MAKSIMAL 35 TAHUNPENDIDKAN MINIMAL D3/S1 SEMUA JURUSANPENGALAMAN DIBIDANG RECRUITMENT DAN ASSESTMENT MINIMAL 2 TAHUNDAPAT BEKERJA DIBAWAH TEKANANMEMILIKI KEMAMPUAN KOMUNIKASI YANG BAIKFAMILIAR MENGGUNAKAN KOMPUTER DENGAN PROGRAM MICROSOFT OFFICE (WORD,EXCEL,POWER POINT,OUTLOOK EMAIL DAN INTERNET)KRITERIA ADMIN HEAD :USIA MAKSIMAL 35 TAHUNPENDIDKAN MINIMAL D3/S1 SEMUA JURUSANPENGALAMAN DIBIDANG ADMINITRASI OTOMOTIF MINIMAL 2 TAHUNDAPAT BEKERJA DIBAWAH TEKANANMEMILIKI KEMAMPUAN KOMUNIKASI YANG BAIKFAMILIAR MENGGUNAKAN KOMPUTER DENGAN PROGRAM MICROSOFT OFFICE (WORD,EXCEL,POWER POINT,OUTLOOK EMAIL DAN INTERNET) ","{
  ""required_skills"": [
    ""Communication skills"",
    ""Microsoft Office (Word, Excel, Power Point, Outlook email, dan Internet)"",
    ""Computer skills"",
    ""Leadership skills"",
    ""Time management"",
    ""Problem solving"",
    ""Analytical skills"",
    ""Business acumen"",
    ""Recruitment and assessment"",
    ""Administrative skills""
  ]
}"
"Pengawas Lapangan Pegawai (non-manajemen & non-supervisor) Sarjana (S1) Penuh Waktu Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja) Persyaratan :1.   Maksimum 35 Tahun2.   Pendidikan minimal D3/S1 Teknik Sipil3.   Memiliki pengalaman kerja dibidang sipil/pekerjaan baja/pergudangan/pembangunan rumah minimal 3 tahun4.   Menguasai Auto CAD , MS-Office, dan software sejenis5.   Bisa membaca alat (waterpas dan theodolit)6.   Dapat Bekerjasama dalam team7.   Dapat berkerja dibawa tekanan8.   Bersedia ditempatkan diseluruh proyek PT Makmur Berkah Amanda Tbk.Tanggung Jawab :1.   Dapat menghitung kebutuhan material pelaksanaan2.   Memeriksa dan mempelajari dokumen untuk pelaksanaan kontruksi yang akan dijadikan dasar dalam pengawasan pekerjaan di lapangan3.   Mengawasi pemakaian bahan, peralatan dan metode pelaksanaan4.   Mengawasi pelaksanaan pekerjaan kontruksi dari segi kualitas, kuantitas dan laju pencapaian volume/realisasi fisik5.   Memberikan instruksi-instruksi serta petunjuk-petunjuk yang perlu kepada Mandor / Kontraktor dalam pelaksanaan pekerjaan agar benar-benar berlangsung sesuai dengan ketetapan-ketetapan kontrak6.   Mengumpulkan data dan informasi di lapangan untuk memecahkan persoalan yang terjadi selama pekerjaan konstruksi ","{
  ""required_skills"": [
    ""pengalaman kerja"",
    ""pengalaman dalam bidang sipil"",
    ""pengalaman dalam pekerjaan baja"",
    ""pengalaman dalam pergudangan"",
    ""pengalaman dalam pembangunan rumah"",
    ""penggunaan Auto CAD"",
    ""penggunaan MS-Office"",
    ""penggunaan software sejenis"",
    ""membaca alat (waterpas dan theodolit)"",
    ""keterampilan dalam bekerja dalam team"",
    ""keterampilan dalam bekerja di bawah tekanan"",
    ""pemahaman konstruksi"",
    ""pemahaman pelaksanaan kontruksi"",
    ""pemahaman pengawasan pekerjaan di lapangan"",
    ""pemahaman kualitas, kuantitas dan laju pencapaian volume/realisasi fisik""
  ]
}"
"Staff Laundry Pegawai (non-manajemen & non-supervisor) Tidak terspesifikasi Penuh Waktu nan Syarat :Maximal 35thWajib berpengalaman dilaundry (cuci, setrika uap, packing)Jujur , Rapi , resik, cekatan bertanggung jawabSiap kerja 12jamFasilitas :Tersedia tempat tinggal (Kemayoran)GajiMakan cateringIncentiveBonus targetLembur / overtimeTugas dan Tanggung Jawab:Mengoperasikan mesin laundryBisa menyetrika (menggunakan setrika uap)Packing pakaian yang sudah selesai dicuci dan disetrika ","{
  ""required_skills"": [
    ""pengalaman kerja di laundry"",
    ""cuci"",
    ""setrika uap"",
    ""packing"",
    ""jujur"",
    ""rapi"",
    ""resik"",
    ""cekatan"",
    ""bertanggung jawab"",
    ""siap kerja 12 jam"",
    ""mengoperasikan mesin laundry"",
    ""menyetrika (menggunakan setrika uap)"",
    ""packing pakaian""
  ]
}"
"PHP & WordPress Developer Pegawai (non-manajemen & non-supervisor) Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1) Kontrak Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);Snack, Food, Tax, Comfort Office The successful applicant will carry out the following duties and responsibilities:Should have knowledge of plugin/theme development and customization.Understanding of custom post types and custom templates.The candidate should be able to work on assignments with the least guidanceResponsible for robust and efficient implementationSuggest technical solutions for short and long termCollaborate with team members and across groups to prepare technical specifications.Design and develop high-quality code.Test, debug, analyze and fix application problems/issues.Work closely with stakeholders to fix issues in a timely fashion.Participate in code reviews in accordance with program specifications and coding standards, practices, and conventions, new designs, changes, and enhancements.Interact with stakeholders (internal and external) to support product releases and/or resolve program problems.Research and remain informed of new technology and development tools.The successful applicant will have the following experience and skills:Strong knowledge of WordPress and Shopify PlatformExpertise in Custom Theme Development and Plugin DevelopmentExpertise in Plugin Integration (Woo-commerce, WPML, Membership plugins, etc)Should understand how to make manageable from admin panelUnderstands architecture and knows how to perform database and code optimization for WordPress and ShopifyExpertise in HTML5, CSS3, JavaScriptProficiency in PHP/MYSQL and AJAXThe ability to work on the LAMP development environmentA thorough understanding of cross-browser compatibility issuesStrong understanding of responsive web design techniquesUnderstanding of W3C Web Standards/Semantics and Accessibility GuidelinesAn ability to work on multiple projects and tasks at the same time.Great attention to detail, highly organized. ","{
  ""required_skills"": [
    ""WordPress development"",
    ""Plugin development"",
    ""Custom theme development"",
    ""Plugin integration (Woo-commerce, WPML, Membership plugins)"",
    ""Database optimization"",
    ""Code optimization"",
    ""HTML5"",
    ""CSS3"",
    ""JavaScript"",
    ""PHP"",
    ""MYSQL"",
    ""AJAX"",
    ""LAMP development environment"",
    ""Cross-browser compatibility"",
    ""Responsive web design"",
    ""W3C Web Standards/Semantics"",
    ""Accessibility Guidelines"",
    ""Project management"",
    ""Attention to detail"",
    ""Organizational skills""
  ]
}"
